income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Upper middle income,U30,4.7,3.8,3.21,3.4,0.0,0.0,3.41,3.27,0.0,0.0
Lower middle income,u37,,3.5,3.13,3.5,3.5,3.0,3.41,3.27,3.52,3.5
Lower middle income,u37,5.3,3.5,3.75,3.75,3.5,0.0,3.41,3.7,3.76,0.0
Lower middle income,u37,,2.5,3.13,3.38,3.5,3.17,3.41,3.29,3.5,3.5
Lower middle income,u37,,2.5,3.25,3.63,3.5,0.0,3.41,3.36,3.49,0.0
Lower middle income,u37,,2.5,2.75,2.75,3.0,3.0,3.41,3.18,3.43,3.5
Lower middle income,U30,,3.0,3.13,3.38,3.5,0.0,3.41,3.28,3.49,0.0
Lower middle income,u37,,3.0,2.88,3.5,3.75,0.0,3.41,3.21,3.47,0.0
Lower middle income,U30,,3.0,3.13,3.25,3.5,0.0,3.41,3.28,3.51,0.0
Lower middle income,U30,5,3.5,3.25,3.38,4.0,0.0,3.41,3.35,3.54,0.0
Upper middle income,U30,5.8,2.96,3.5,3.5,0.0,0.0,3.41,3.51,0.0,0.0
Upper middle income,U30,4.9,3.27,3.88,3.25,0.0,0.0,3.41,3.72,0.0,0.0
Low income,u37,6,3.5,3.5,3.5,0.0,0.0,3.41,3.54,0.0,0.0
Lower middle income,U30,,3.59,3.5,3.71,0.0,0.0,3.41,3.5,0.0,0.0
Upper middle income,U30,,2.9,3.13,3.5,4.0,0.0,3.41,3.29,3.51,0.0
Upper middle income,U30,4.8,2.96,3.5,3.75,3.88,0.0,3.41,3.46,3.48,0.0
Lower middle income,U30,,2.75,3.0,3.5,0.0,0.0,3.41,3.21,0.0,0.0
Low income,U30,5.7,3.5,3.54,4.0,4.0,0.0,3.41,3.58,3.64,0.0
Lower middle income,U30,6.3,2.98,3.5,3.38,4.0,4.0,3.41,3.52,3.63,3.5
Upper middle income,U30,4.9,3.25,3.21,3.43,3.5,0.0,3.41,3.3,3.54,0.0
Lower middle income,U44,,3.5,3.43,3.57,0.0,0.0,3.41,3.43,0.0,0.0
Lower middle income,u37,,4.0,3.38,3.63,0.0,0.0,3.41,3.42,0.0,0.0
Lower middle income,U25,4.5,3.0,2.86,3.21,0.0,0.0,3.41,3.18,0.0,0.0
Upper middle income,U30,4.7,3.17,3.0,3.23,0.0,0.0,3.41,3.21,0.0,0.0
Lower middle income,U30,5.2,4.0,3.63,4.0,3.79,0.0,3.41,3.64,3.64,0.0
Upper middle income,U30,5,3.58,3.5,3.38,0.0,0.0,3.41,3.46,0.0,0.0
Lower middle income,u37,,2.74,3.89,3.5,3.63,3.5,3.41,3.76,3.7,3.5
